state,total_discharges,avg_oop,avg_insured
AK,8740,3176.5794223159724,20075.505624557638
AL,73176,3096.9805454548605,11575.041412866314
AR,59594,2076.139463666534,11799.655879688162
AZ,88158,2903.816292171598,15037.88887870456
CA,427925,3380.896846033355,20771.0384503883
CO,47086,3263.134876168976,15948.92609891073
CT,31000,2427.2971636217776,14080.924252408555
DC,17386,7665.134103118216,23344.347878729604
DE,26435,3640.798802899283,15499.501968343011
FL,432407,2418.315064053874,12544.4425101084
GA,130473,3417.358764747154,14195.066282008998
HI,10084,5604.708027867442,19561.087578711627
IA,47122,2111.0873632796347,11968.890398189185
ID,16124,2316.2971324245873,14978.469538760552
IL,225528,3629.0911510281653,13988.01897289481
IN,113027,2180.975938772762,13280.825297033214
KS,52800,2249.5206464966886,13074.19586597914
KY,74955,2611.454874500683,13189.671338737158
LA,63170,2739.77775006414,11780.738036349627
MA,178022,2522.8073503451133,17167.621882829742
MD,129549,1925.7258673431463,22936.04903623364
ME,13925,3204.4876782514893,14879.763693035744
MI,147465,2928.7242509975044,14286.79688825886
MN,70877,3915.044109658826,17927.369231562392
MO,107985,2043.502371303933,13662.308693431823
MS,58587,2027.0906545399644,12049.770065006847
MT,15402,1921.5375878345865,14569.811587625189
NC,157353,3376.4611379732496,13990.426251823945
ND,17843,2605.6970649469044,14634.49875466998
NE,31348,2437.4750717653387,15344.976296345418
NH,23774,2480.2519960222085,15116.646693832246
NJ,171006,3320.886603919435,15622.875627118185
NM,18657,2910.089729940394,15172.542800376026
NV,44378,2835.3819358667174,14664.442792027494
NY,329500,3732.8187613010373,19495.781576306716
OH,176309,3284.9740167542254,12714.63002028845
OK,71755,2510.4428904214146,13183.4432072889
OR,35917,3233.605425265177,18153.855115174887
PA,222937,3916.5100892127757,14195.738723703544
RI,13955,3021.772247608108,13230.739309143695
SC,89056,3047.8023622844794,13618.867124380753
SD,20715,2309.142720410034,15684.383441242859
TN,120649,3271.442883053695,13027.604412008213
TX,338749,3188.776900639882,14874.76621117498
UT,23852,3178.228019268136,17064.737712194332
VA,151198,3533.196457592937,13630.909947092816
VT,9701,2550.778866706971,9157.959627103128
WA,84622,3544.855459022818,16912.227659180655
WI,66606,3288.0635518295567,13936.253789089082
WV,39218,2851.9049478993184,11742.298313560732
WY,6550,1890.7205735183036,15894.978607938392
